;:category;:sales;:date;:unit;:name;:ean;:profit;:category-id;:vat;:weight;:id;:qty
689;Pieczywo regionalne - Chleb biały;104.06;2018-11-10;szt;Chleb Zwykły krojony 0,5kg  (Kupczyk 0053);80008;18.38;100209;5;1.000;F01450_000015;36.000
690;Pieczywo regionalne - Przekąski słodkie i słone;13.94;2018-11-10;szt;Bułka Słodka (Kupczyk) (0450);80019;2.53;100212;8;1.000;F01450_000024;7.000
691;Pieczywo regionalne - Przekąski słodkie i słone;4.35;2018-11-10;szt;Chałka Mała  (Kupczyk 0406);80016;1.75;100212;8;1.000;F01450_000028;2.000
692;Pieczywo regionalne - Przekąski słodkie i słone;12.25;2018-11-10;szt;Pączek (Kupczyk) (0500);80005;2.24;100212;8;1.000;F01450_000029;7.000
693;Pieczywo regionalne - Przekąski słodkie i słone;18.43;2018-11-10;szt;Pączek Przekładany (Kupczyk) (0502);80004;3.13;100212;8;1.000;F01450_000030;10.000
694;Akcesoria gospodarstwa domowego;3.57;2018-11-10;szt;FOLIA SPOŻYWCZA PYZA 30M;5902365096795;1.07;110201;23;1.000;F01450_000077;1.000
695;Pieczywo regionalne - Chleb ciemny;13.90;2018-11-10;szt;Chleb Owsiany 0,45kg (Kupczyk 0259);80029;2.46;100210;5;0.450;F01450_000129;4.000
696;Pieczywo mrożone - Bułki, bagietki;11.11;2018-11-10;szt;BUŁKA BERLIŃSKA 70gx105szt (Kod:010336);80033;4.07;100204;8;1.000;F01450_000140;16.000
697;Dania mrożone;2.05;2018-11-10;szt;PASZTECIK PIECZARKOWY;80034;0.50;050201;5;1.000;F01450_000141;1.000
698;Pieczywo regionalne - Chleb ciemny;10.43;2018-11-10;szt;Chleb IG (Kupczyk 0180);81000;1.85;100210;5;1.000;F01450_000144;3.000
699;Twarogi pakowane;4.54;2018-11-10;kg;Asco Twaróg luksusowy próżnia ;2902421000000;1.08;060204;5;1.000;F01450_000178;0.308
700;Pieczywo - Bułka tarta;2.43;2018-11-10;szt;Bułka H4 Tarta 0,5kg (Warta );5902020511533;0.53;100202;5;1.000;F01450_000184;1.000
701;Wędzonki waga;14.04;2018-11-10;kg;Bigosowe Ścinki-wędlina;2901997000000;-28.19;040408;5;1.000;F01450_000193;2.108
