;:category;:sales;:date;:unit;:name;:ean;:profit;:category-id;:vat;:weight;:id;:qty
47;Sezonowe świąteczne;1.91;2018-11-10;szt;BAŃKI MYDLANE MYSZKA MINI 60ML;8007315538008;0.58;110204;23;0.060;008821;1.000
48;ryż;3.23;2018-11-10;szt;RYŻ SARITA BIAŁY DŁUGOZIARNISTY 1KG;5909000779174;0.64;121005;5;1.000;008924;1.000
49;Piwo w butelce;0.00;2018-11-10;szt;PIWO WARKA JASNE PEŁNE 6x500 ml PUSZKA;5902746640159;0.00;010301;23;3.000;009196;0.000
50;Piwo w butelce;51.15;2018-11-10;szt;PIWO WARKA JASNE PEŁNE 6x500 ml PUSZKA;2100078006992;-20.76;010301;23;3.000;009196;9.000
51;Marynaty rybne Waga;4.57;2018-11-10;kg;FILETY ŚLEDZIOWE Z OLEJEM LUZ;2902510000000;0.34;040201;5;2.300;009303;0.284
52;Papierosy;10.56;2018-11-10;szt;PAPIEROSY LD COLORS SUPER LINE B8;59079132;0.57;030103;23;20.000;009577;1.000
53;Woda;1.46;2018-11-10;szt;NAPÓJ ŻYWIEC ZDRÓJ POTWOR.POZIOM.N/GAZ 500 ml;5900541006767;0.17;070101;23;0.500;009603;1.000
54;szkoła;1.91;2018-11-10;szt;NOŻYCZKI ARTSEZON;5901812782595;0.58;110205;23;1.000;009680;1.000
55;Płatki śniadaniowe;8.55;2018-11-10;szt;PŁATKI LION WILDCRUSH 150 g;5900020032294;1.79;120303;5;0.150;009915;2.000
56;Artykuły kosztowe;5.98;2018-11-10;szt;TORBA KOSZULKA HDPE DC 30X53 50my;5907228010970;2.20;080201;23;1.000;010054;21.000
57;Znicze;5.33;2018-11-10;szt;ZNICZ SZKLANY S-114 100 g 35H;5906732415783;1.60;110206;23;1.000;010382;1.000
58;Lizaki;1.42;2018-11-10;szt;LIZAK CHUPA CHUPS CZASZKA 15 g;6921211113478;0.34;121108;23;0.015;010510;1.000
59;Desery w proszku;1.44;2018-11-10;szt;BUDYŃ WINIARY MALINOWY 60 g;5900085002270;0.52;120902;8;0.060;011288;1.000
60;Warzywa okopowe [z];8.30;2018-11-10;kg;PIETRUSZKA kg;5908235952017;2.71;090703;5;1.000;011469;0.868
61;Wędliny pakowane;6.24;2018-11-10;szt;KABANOS KLASYCZNY DROBIOWY 200 g;5908230519932;1.34;060605;5;0.200;012068;1.000
62;Warzywa okopowe [z];0.48;2018-11-10;kg;BURAK CZERWONY kg;5908235950464;0.13;090703;5;1.000;015241;0.400
63;Warzywa kapustne [z];5.61;2018-11-10;kg;KAPUSTA BIAŁA kg;5908235951294;2.14;090702;5;1.000;015278;2.528
64;Warzywa sałatkowe [z];5.31;2018-11-10;kg;PAPRYKA CZERWONA kg;5908235951881;2.08;090704;5;1.000;015291;0.592
65;Ciastka;15.76;2018-11-10;kg;WAFLE KAKAOWE CHRUPS CUKRY NYSKIE kg;5901228003192;5.73;121104;23;1.000;015400;1.212
66;Kiszonki i koncentraty;4.61;2018-11-10;szt;KAPUSTA KWASZ.W.Z MARCH. 650g;5903560889076;0.35;090201;8;0.650;015448;2.000
67;Warzywa sałatkowe [z];4.24;2018-11-10;szt;SAŁATA LODOWA szt.;2460800000000;1.35;090704;5;1.000;015638;1.000
68;Cytrusy [z];10.69;2018-11-10;kg;POMARAŃCZA kg;5908238695171;4.36;090502;8;1.000;016104;1.462
69;Warzywa sałatkowe [z];18.49;2018-11-10;kg;POMIDOR ŚLIWKOWY kg;5908235952307;6.76;090704;5;1.000;016225;2.312
70;Owoce egzotyczne [z];10.92;2018-11-10;kg;BANAN kg;5908235950228;3.97;090505;8;1.000;016291;2.016
71;Ryby wędzone Waga [z];20.12;2018-11-10;kg;DORSZ CZERNIAK WĘDZ N/G kg;2900329000000;2.61;040204;5;1.000;016907;1.062
72;Papierosy;34.12;2018-11-10;szt;PAPIEROSY LD MINT KSX20 B8;59072256;1.85;030103;23;1.000;018611;3.000
73;Warzywa sałatkowe [z];27.66;2018-11-10;kg;POMIDOR kg;5908238696338;1.26;090704;5;1.000;019009;7.312
74;Jabłka i gruszki [z];7.63;2018-11-10;kg;JABŁKO kg;5908238696222;2.46;090503;5;1.000;019948;4.494
75;Grzyby [z];9.60;2018-11-10;kg;PIECZARKA kg;5908235951997;-1.21;090701;5;1.000;019949;1.866
76;Papierosy;12.20;2018-11-10;szt;PAPIEROSY CAMEL NATURAL BLUE;59072201;1.71;030103;23;1.000;020532;1.000
77;Papierosy;38.99;2018-11-10;szt;PAPIEROSY WINSTON BLUE X20;59072409;2.27;030103;23;1.000;020549;4.000
78;Papierosy;29.24;2018-11-10;szt;PAPIEROSY WINSTON CLASSIC B8;59072393;1.70;030103;23;1.000;020557;3.000
79;Papierosy;11.37;2018-11-10;szt;PAPIEROSY LD SUPER SLIMS FRESH OPTION;59072355;0.62;030103;23;20.000;020814;1.000
80;Papierosy;13.41;2018-11-10;szt;PAPIEROSY PALL MALL 24 POCKET RED;59064077;0.68;030103;23;24.000;020860;1.000
81;Papierosy;24.37;2018-11-10;szt;PAPIEROSY L&M COOL MNT.LABEL KS X20;5903621030959;1.15;030103;23;1.000;020979;2.000
82;Papierosy;9.75;2018-11-10;szt;PAPIEROSY WINSTON 100 RED NOWE;59072416;0.57;030103;23;20.000;020983;1.000
83;Papierosy;38.99;2018-11-10;szt;PAPIEROSY WINSTON XS BLUE SSL;59072461;2.27;030103;23;20.000;020984;4.000
84;Papierosy;53.66;2018-11-10;szt;PAPIEROSY PALL MALL 24 POCKET BLUE;59064084;2.75;030103;23;20.000;020989;4.000
85;Papierosy;11.95;2018-11-10;szt;PAPIEROSY LUCKY STRIKE CLICK KS;59063667;0.69;030103;23;20.000;021300;1.000
86;Papierosy;21.12;2018-11-10;szt;PAPIEROSY CHESTERFIELD BLUE 100KSX20;5903621262633;1.11;030103;23;1.000;021416;2.000
87;Papierosy;77.98;2018-11-10;szt;PAPIEROSY ROTHMANS BLUE 20KS;59063865;4.38;030103;23;1.000;021525;8.000
88;Papierosy;38.99;2018-11-10;szt;PAPIEROSY WINSTON XS MENTHOL SSL;59072454;2.26;030103;23;20.000;021547;4.000
89;Papierosy;10.56;2018-11-10;szt;PAPIEROSY PALL MALL SLIMS GRE.100MMX20;59063810;0.63;030103;23;1.000;021731;1.000
90;Papierosy;21.12;2018-11-10;szt;PAPIEROSY PALL MALL SLIMS BLUE 100MMX20;59063803;1.26;030103;23;1.000;022354;2.000
91;Papierosy;77.98;2018-11-10;szt;PAPIEROSY ROTHMANS RED X20;59063858;4.38;030103;23;1.000;022356;8.000
92;Warzywa sałatkowe [z];12.48;2018-11-10;kg;POR kg;5908235952383;5.94;090704;5;1.000;024921;1.470
93;Tytoń;9.75;2018-11-10;szt;TYTOŃ ROTHMANS BLUE 30 g B8;5999096405101;0.44;030104;23;0.030;025024;1.000
94;Tytoń;32.11;2018-11-10;szt;TYTOŃ PALL MALL BLUE 85g;3856008830647;1.35;030104;23;0.085;025780;1.000
95;Cytrusy [z];27.44;2018-11-10;szt;POMELO szt.;2482400000000;0.10;090502;8;1.000;026133;6.000
96;Marynaty rybne Waga;2.54;2018-11-10;kg;RYBA PO CHOJNICKU DORSZOWATA KG;2900152000000;0.85;040201;5;3.000;026760;0.156
97;Papierosy;12.36;2018-11-10;szt;PAPIEROSY LUCKY STRIKE BLUE;59063957;0.72;030103;23;20.000;029412;1.000
98;Warzywa okopowe [z];7.56;2018-11-10;kg;BATATY kg;2480400000000;1.55;090703;5;1.000;029571;0.918
99;Zieleniny [z];1.70;2018-11-10;szt;NATKA PIETRUSZKI SZT;2409600000000;0.75;090706;5;1.000;031026;1.000
100;Papierosy;10.56;2018-11-10;szt;PAPIEROSY WINSTON OPTION BLUE KS;59072430;0.61;030103;23;20.000;032858;1.000
101;Kurczak Waga [z];43.77;2018-11-10;kg;PIERŚ Z KURCZAKA ZK ZS kg;2900105000000;-1.96;040105;5;1.000;034812;4.600
102;Papierosy;10.56;2018-11-10;szt;PAPIEROSY WINSTON OPTION SSL;59072447;0.61;030103;23;20.000;035004;1.000
103;Napoje typu cola;3.24;2018-11-10;szt;NAPÓJ COCA COLA LIME 1,5l PET;5449000089656;0.60;070302;23;1.500;035637;1.000
104;Warzywa sałatkowe [z];21.12;2018-11-10;szt;OGÓREK DŁUGI szt.;5908235953748;13.42;090704;5;1.000;035834;5.000
105;Sałaty pakowane;3.04;2018-11-10;szt;SAŁATKA CESARSKA WYBRANE PRZEZ 120g;2499200000000;0.36;090601;8;0.120;036338;1.000
106;Papierosy;12.60;2018-11-10;szt;PAPIEROSY L&M LINK BLUE SSL 100MMX20;5903621081456;0.61;030103;23;1.000;037400;1.000
107;Piwo w puszce;108.40;2018-11-10;szt;PIWO FOX MOCNE 500ml PUSZ;5909000518209;21.97;010302;23;0.500;037507;67.000
108;Papierosy;12.76;2018-11-10;szt;PAPIEROSY L&M FORWARD MNT KS BOX X20;5903621160731;0.60;030103;23;1.000;039408;1.000
109;Papierosy;26.83;2018-11-10;szt;PAPIEROSY MARLBORO GOLD KSX20;5903621251132;1.51;030103;23;1.000;039844;2.000
110;Konserwy rybne;4.52;2018-11-10;szt;FILECIKI Z MAK.W SOS.POM.A'LA PIZ.GRAALKI SMA.RYB.100 g;5903895635577;1.09;120704;5;0.100;040764;1.000
111;Marynaty rybne Waga;14.97;2018-11-10;kg;FILETY ŚLEDZIOWE SOLONE ALA MATIAS LUZ;2900163000000;3.17;040201;5;1.000;040819;1.124
112;Twarogi pakowane;2.18;2018-11-10;szt;SEREK KANAPK ZE SZCZYP.HOCHLAND 130g;5902899139661;0.24;060204;5;0.130;040875;1.000
113;Twarogi pakowane;2.18;2018-11-10;szt;SEREK KANAPK.ŚMIET.HOCHLAND 130g;5902899139623;-0.11;060204;5;0.130;040876;1.000
114;Twarogi pakowane;4.36;2018-11-10;szt;SEREK KANAPK.Z SZYNKĄ HOCHLAND 130g;5902899139708;-0.22;060204;5;0.130;040879;2.000
115;Wódka;10.46;2018-11-10;szt;WÓDKA JOKER 38% 100ml;5909000518322;1.19;010405;23;0.100;041102;3.000
116;Warzywa sałatkowe [z];16.72;2018-11-10;kg;POMIDOR MALINOWY POLSKI kg;5908235952253;8.52;090704;5;1.000;041124;1.932
117;Papierosy;48.75;2018-11-10;szt;PAPIEROSY L&M BLUE LABEL KSX20;5903621242444;2.30;030103;23;1.000;041521;4.000
118;Papierosy;24.37;2018-11-10;szt;PAPIEROSY P&S RED KS 22;4030600184318;1.57;030103;23;22.000;041778;2.000
119;Papierosy;48.75;2018-11-10;szt;PAPIEROSY P&S BLUE KS 22;4030600184257;3.15;030103;23;22.000;042264;4.000
120;Wędliny pakowane;11.41;2018-11-10;szt;SZYNKA SZWARCWALDZ. ABRAHAM 80g;4034167701711;2.83;060605;5;0.080;056448;2.000
121;Karma dla psów;5.14;2018-11-10;szt;KARMA PEDIGREE RODEO 122g;5010394982849;1.34;130103;8;0.127;062248;1.000
122;Przekąski;7.39;2018-11-10;szt;CHIPSY LAY'S STRONG CHILLI 140 g;5900259076656;-0.89;120101;8;0.140;062360;2.000
123;Sezonowe grillowe;13.05;2018-11-10;szt;WKŁAD ELEKTRYCZNY PROMYK;5904603487051;2.67;110203;23;50.000;063949;3.000
124;Mleko UHT;4.29;2018-11-10;szt;MLEKO ZAGĘSZCZONE MIKUŚ 75 g;5900197021466;1.13;060804;5;0.075;066993;2.000
125;Dania mrożone;7.70;2018-11-10;szt;PIZZA Z KURCZAKIEM IGLOTEX 435 g;5902162105713;2.06;050201;5;0.435;073309;1.000
126;Warzywa konserwowe;1.84;2018-11-10;szt;ĆWIKŁA Z CHRZANEM SŁONECZNY OGRÓD 300 g;5908235948560;0.45;120711;8;0.300;083553;1.000
127;Słodycze luz;7.23;2018-11-10;kg;WAFLE SĄDECKIE ŚMIETANKOWE kg;5907763900309;2.18;121109;8;1.000;087035;0.550
128;Ciastka;8.94;2018-11-10;szt;CIASTKA TEA BISCUITS 400 g;8690526070285;2.38;121104;23;0.400;088737;2.000
129;Opakowania;16.80;2018-11-10;szt;BUTELKA 0,50 ZŁ;80000;4.80;080301;0;1.000;099990;24.000
130;Desery, serki, kefiry;5.57;2018-11-10;szt;JOGURT POLSKIE SMAKI Z MUSEM TRUSKAWKOWYM BAKOMA 120 g;5900197015472;1.40;060801;5;0.120;100143;3.000
131;Desery, serki, kefiry;4.55;2018-11-10;szt;SEREK BAKOMA BAKUŚ WANILIOWY DO KIESZONKI 80g;5900197014048;1.11;060801;5;0.080;100147;2.000
132;makaron;5.99;2018-11-10;szt;MAKARON CZANIECKI GNIAZDA SWOJSKIE 500g;5901841000356;1.49;121003;5;0.500;100779;1.000
133;Owoce w puszkach;2.31;2018-11-10;szt;MUS OWOCOWY BAKOMA FRUCIAKI JABŁKO 90g;5900197016783;0.60;120904;8;0.090;101524;1.000
134;Owoce w puszkach;4.61;2018-11-10;szt;MUS OWOCOWY FRUCIAKI JABŁKO BRZOSKWINIA 90 g;5900197016806;1.19;120904;8;0.090;101540;2.000
135;farmacja;7.45;2018-11-10;szt;TABLETKI 2KC x3;5901130350261;2.25;030401;8;3.000;104061;1.000
136;farmacja;5.32;2018-11-10;szt;PLASTRY FAMILIJNE DZIECIĘCE ACTIVPLAST 16SZT;5907527949520;1.61;030401;8;16.000;105026;1.000
137;Herbaty pozostałe;3.46;2018-11-10;szt;HERBATA EXP.HERBAPOL MELISA x20 TB;5900956002323;1.22;120602;23;20.000;106375;1.000
138;Herbaty pozostałe;4.51;2018-11-10;szt;HERBATA EXP.PROSTO Z LASU x20;5900956000688;1.77;120602;23;20.000;113347;1.000
139;Mleko UHT;2.09;2018-11-10;szt;MLEKO UHT 1,5% MLECZNA ZAGRODA 1l KAR.;5908235956343;0.20;060804;5;1.000;116188;1.000
140;Mleko UHT;8.83;2018-11-10;szt;MLEKO UHT 1,5% WYDOJONE BEZ LAKTOZY 1l;5900512982335;2.20;060804;5;1.000;118966;3.000
141;Akcesoria gospodarstwa domowego;2.11;2018-11-10;szt;FOLIA ALUM.AMIGO ALUFOLIA ROLKA 28CM/10M;5904771002919;0.32;110201;23;1.000;122081;1.000
142;Bombonierki;10.50;2018-11-10;szt;BOMBONIERKA WIŚNIE W LIKIERZE KARTON SOLIDARNOŚĆ 190g;5900189003609;2.56;121102;23;0.190;129327;1.000
143;Ciastka;2.11;2018-11-10;szt;BISZKOPTY  PARTY Z GAL.POM W CZEK. DELICPOL 135g;5901141003231;0.53;121104;23;0.135;130584;1.000
144;Akcesoria do papierosów;7.85;2018-11-10;szt;GILZY WRB 500;5908278573682;2.26;030101;23;500.000;138389;1.000
145;Śmietany;2.48;2018-11-10;szt;ŚMIETANA ZOTT NATUR. 12% 330 g KUB.;2100065001306;-1.58;060805;5;0.330;141585;2.000
146;Wieprzowina Waga [z];38.22;2018-11-10;kg;KARKÓWKA WP B/K kg;2901222000000;0.32;040703;5;1.000;200003;3.146
147;Kurczak Waga [z];62.34;2018-11-10;kg;ĆWIARTKA Z KURCZAKA kg;2900098000000;3.26;040105;5;1.000;200004;18.758
148;Kurczak Waga [z];5.21;2018-11-10;kg;WĄTRÓBKA Z KURCZAKA kg;2900101000000;0.82;040105;5;1.000;200075;1.190
149;Wieprzowina Waga [z];8.13;2018-11-10;kg;KOŚCI SCHABOWE WIEPRZOWE kg;2901279000000;1.39;040703;5;1.000;200086;2.254
150;Kiełbasy grube waga;59.04;2018-11-10;kg;KIEŁBASA ŚLĄSKA SOKOŁÓW MAP kg;2900693000000;15.41;040404;5;1.000;200111;3.164
151;Wędzonki waga;16.24;2018-11-10;kg;OGONÓWKA MADEJ&WRÓBEL kg;2900830000000;0.96;040408;5;1.000;200122;1.142
152;Wyroby podrobowe i garmażeryjne waga;11.26;2018-11-10;kg;PASZTET Z PIECA SOKOŁÓW kg;2901083000000;2.95;040409;5;1.000;200169;0.810
153;Salami waga;12.40;2018-11-10;kg;SALAMI W OBSYPCE Z CZERWONEJ PAPRYKI SOKOŁÓW kg;2900793000000;3.22;040407;5;1.000;200173;0.306
154;Wyroby podrobowe i garmażeryjne waga;25.09;2018-11-10;kg;SALCESON KRÓLEWSKI SOKOŁÓW kg;2901081000000;6.34;040409;5;1.000;200176;1.294
155;Parówki, parówkowe i serdelki waga;79.45;2018-11-10;kg;PARÓWKI BERLINKI CLASSIC MORLINY MAP kg;2900765000000;-36.02;040406;5;1.000;200308;9.200
156;Wędzonki waga;22.72;2018-11-10;kg;SZYNKA BANKIETOWA ANIMEX kg;2900865000000;5.20;040408;5;1.000;200349;1.036
157;Kiełbasy cienkie waga;7.44;2018-11-10;kg;KIEŁBASA ŚLĄSKA MIĘSNE SPECJAŁY kg;2900576000000;2.14;040403;5;1.000;200431;0.422
158;Wędzonki waga;20.14;2018-11-10;kg;SCHAB Z PIECA MADEJ WRÓBEL KG;2900922000000;1.30;040408;5;1.000;200520;1.024
159;Kiełbasy cienkie waga;13.54;2018-11-10;kg;KIEŁBASA ŚLĄSKA MORLINY kg;2900592000000;1.56;040403;5;1.000;200538;1.102
160;Wędzonki waga;11.01;2018-11-10;kg;SZYNKA GAZDY kg;2900837000000;1.27;040408;5;1.000;200644;0.464
161;Sery żółte Waga;10.00;2018-11-10;kg;SER ŻÓŁTY KRÓLEWSKI BLOK kg;2900446000000;3.11;040303;5;1.000;200673;0.336
162;Sery żółte Waga;7.45;2018-11-10;kg;SER ŻÓŁTY ZŁOTY MAZUR 45% BLOK kg;2900431000000;-0.34;040303;5;1.000;200680;0.412
163;Sery żółte Waga;10.75;2018-11-10;kg;SER GOUDA JAGR kg;2900425000000;2.68;040303;5;1.000;200694;0.436
164;Sery żółte Waga;57.49;2018-11-10;kg;SER ŻÓŁTY JAGRAMER kg;2900449000000;4.61;040303;5;1.000;200712;3.058
165;Sery żółte Waga;6.80;2018-11-10;kg;SER SALAMI CZOSNEK ZIOŁA SPOMLEK kg;2900420000000;1.70;040303;5;1.000;200760;0.258
166;Sery premium Waga;20.60;2018-11-10;kg;SER MOZZARELLA BLOK PASŁĘK KG;2900398000000;5.15;040302;5;1.000;200784;0.874
167;Dania mięsne Waga;7.70;2018-11-10;kg;SAŁATKA Z SZYNKĄ DEGA kg;2901135000000;0.90;040602;5;1.000;201047;0.908
168;Wędzonki waga;10.54;2018-11-10;kg;KURCZAK GOTOWANY TARCZYŃSKI kg;2900962000000;0.61;040408;5;1.000;201075;0.438
169;Wieprzowina Waga [z];117.54;2018-11-10;kg;ŁOPATKA WP B/K kg;2901238000000;-8.87;040703;5;1.000;201108;14.784
170;Wieprzowina Waga [z];18.59;2018-11-10;kg;SCHAB WP B/K kg;2901240000000;4.09;040703;5;1.000;201110;1.028
171;Kurczak Waga [z];36.70;2018-11-10;kg;PODUDZIA Z KURCZAKA kg;2900099000000;6.53;040105;5;1.000;201122;6.046
172;Kurczak Waga [z];5.30;2018-11-10;kg;PORCJA ROSOŁOWA Z KURCZAKA kg;2900100000000;0.88;040105;5;1.000;201129;2.942
173;Wyroby podrobowe i garmażeryjne waga;13.01;2018-11-10;kg;PASZTETOWA DROBIOWA DUDA kg;2901092000000;4.35;040409;5;1.000;201140;1.372
174;Kurczak Waga [z];30.35;2018-11-10;kg;SKRZYDŁO Z KURCZAKA kg;2900119000000;5.24;040105;5;1.000;201150;5.354
175;Sery żółte Waga;103.80;2018-11-10;kg;SER JAGNA OK CEKO KG;2900471000000;26.26;040303;5;1.000;201200;3.856
176;Wędzonki waga;3.11;2018-11-10;kg;POLĘDWICA SOPOCKA KAROL kg;2900859000000;0.91;040408;5;1.000;201218;0.168
177;Cukierki pakowane;2.39;2018-11-10;kg;GALARETKI Z NADZ.JOLLY SOLIDARNOŚĆ LUZ;5900189008178;0.27;121105;23;1.000;201437;0.164
178;Warzywa sałatkowe [z];1.63;2018-11-10;kg;PAPRYKA ŻÓŁTA kg;5908235951973;0.41;090704;5;1.000;201765;0.178
179;Margaryna kulinarna;8.72;2018-11-10;szt;MARGARYNA KASIA KOSTKA 250 g;5900300514502;2.12;060301;5;0.250;202224;4.000
180;Olej;11.36;2018-11-10;szt;OLEJ KUJAWSKI 1L;5900012000232;0.34;060305;5;1.000;202227;2.000
181;Kawy rozpuszczalne;11.13;2018-11-10;szt;KAWA ROZP.NESCAFE CLASSIC 200g;7613031918881;-0.57;120802;23;0.200;202229;1.000
182;Produkty z pomidorów;3.38;2018-11-10;szt;KONCENTRAT POMID.DAWTONA 30% 200g;5901713000071;1.99;120707;8;0.200;202232;1.000
183;ryż;5.50;2018-11-10;szt;RYŻ BIAŁY 4x100g RISANA;5902180020104;1.64;121005;5;0.400;202236;2.000
184;Warzywa konserwowe;6.09;2018-11-10;szt;KUKURYDZA KONS.PUDLISZKI 400g;5900783000073;1.23;120711;8;0.220;202243;2.000
185;Soki, nektary, inne napoje niegazowane;4.09;2018-11-10;szt;SOK HORTEX POMARAŃCZOWY 1l KAR.;5900500024290;0.66;070305;5;1.000;202249;1.000
186;Herbaty czarne;3.86;2018-11-10;szt;HERBATA EXP.LIPTON x25 TB. 50g;5900300550159;0.97;120601;23;25.000;202270;1.000
187;Produkty z pomidorów;8.31;2018-11-10;szt;KONCENTRAT POMID.PUDLISZKI 30%.200 g;5900783000134;0.84;120707;8;0.200;202272;3.000
188;Napoje typu cola;6.33;2018-11-10;szt;NAPÓJ COCA COLA 1l PET;5449000054227;1.73;070302;23;1.000;202277;2.000
189;Soki, nektary, inne napoje niegazowane;3.80;2018-11-10;szt;SOK HORTEX JABŁKOWY 1l;5900500024337;0.75;070305;5;1.000;202278;1.000
190;Zupy;5.01;2018-11-10;szt;ZUPA VIFON KURCZAK ZŁOTY ŁAGODNY 70g;5901882110014;1.80;120712;5;0.070;202280;3.000
191;czekolady;3.65;2018-11-10;szt;CZEKOLADA NUSSBEISSER Z ORZECH.100g;5903189076314;-0.49;121106;23;0.100;202281;1.000
192;Zupy;6.82;2018-11-10;szt;ZUPA VIFON KURCZAK CURRY OSTRY 70g;5901882110069;2.46;120712;5;0.070;202300;4.000
193;Pasztety;1.90;2018-11-10;szt;PASZTET PROFI DROBIOWY Z PIECZ.131g;5901696000068;0.31;120706;5;0.131;202306;1.000
194;Pasztety;3.79;2018-11-10;szt;PASZTET PROFI DROBIOWY FIRMOWY 131g;5901696000013;0.93;120706;5;0.131;202310;2.000
195;Detergenty do prania;8.12;2018-11-10;szt;ODPLAMIACZ VANISH 1L;5900627006315;2.51;020601;23;1.000;202319;1.000
196;Przyprawy;5.42;2018-11-10;szt;PRZYPRAWA KNORR DELIKAT DO MIĘS 75 g;5900300543717;-2.89;120708;8;0.075;202339;3.000
197;Przekąski;5.73;2018-11-10;szt;ORZESZKI FELIX ZIEMNE SOLONE 140 g PUSZKA;5900571000025;1.62;120101;8;0.140;202349;1.000
198;Napoje typu cola;4.70;2018-11-10;szt;NAPÓJ COCA COLA 500ml PET;54491472;1.98;070302;23;0.500;202369;2.000
199;Przyprawy;1.54;2018-11-10;szt;PRZYPRAWA KAMIS LIŚĆ LAUROWY 6g;5900084009010;0.39;120708;23;0.006;202370;1.000
200;Higiena niemowląt ;2.35;2018-11-10;szt;SZAMPON DO WŁOSÓW BAMBI DLA DZIECI 150ML;5900057010029;0.70;020802;23;0.150;202455;1.000
201;Zupy;2.05;2018-11-10;szt;ZUPA AMINO NUDLE ROSÓŁ 59 g;8711200336173;0.90;120712;5;0.059;202457;1.000
202;Przyprawy;1.54;2018-11-10;szt;PRZYPRAWA KAMIS PAPRYKA OSTRA 20g;5900084002028;0.39;120708;23;0.020;202474;1.000
203;Napoje gazowane inne;2.67;2018-11-10;szt;NAPÓJ SPRITE GAZ.1l PET;5449000050939;0.30;070301;23;1.000;202475;1.000
204;Dodatki do ciast;3.01;2018-11-10;szt;DROŻDŻE DR.OETKER INSTANT 7g;5900437011110;0.97;120903;23;0.007;202481;2.000
205;Desery w proszku;1.81;2018-11-10;szt;GALARETKA DR.OETKER TRUSKAWKOWA 77 g;5900437034522;0.89;120902;8;0.075;202510;1.000
206;Mleko UHT;2.56;2018-11-10;szt;MLEKO UHT ŁACIATE 3,2% 1l.KAR.;5900820000011;0.29;060804;5;1.000;202524;1.000
207;Desery w proszku;1.20;2018-11-10;szt;BUDYŃ DR.OETKER WANILIOWY 40g;5900437020013;0.43;120902;8;0.040;202535;1.000
208;Piwo w puszce;2.84;2018-11-10;szt;PIWO LECH PREMIUM 500ml PUSZ;5900490000182;0.85;010302;23;0.500;202539;1.000
209;Środki do czyszczenia;4.06;2018-11-10;szt;PŁYN UNIWERSALNY AJAX FF ZIELONY 1L;5900273472939;0.45;020501;23;1.000;202546;1.000
210;Sosy mokre;3.79;2018-11-10;szt;KETCHUP KOTLIN PIKANTNY 450g;5900385012528;0.92;120709;8;0.450;202557;1.000
211;Desery w proszku;1.01;2018-11-10;szt;KISIEL DR.OETKER TRUSKAW.Z WIT.C 38g;5900437033839;0.30;120902;8;0.038;202565;1.000
212;Piwo w butelce;65.78;2018-11-10;szt;PIWO LECH PREMIUM 500ml BUT.ZWR.;5900490000427;11.84;010301;23;0.500;202570;29.000
213;Twarogi pakowane;7.47;2018-11-10;szt;SEREK WIEJSKI PIĄTNICA 200g KUBEK;5900531000010;0.59;060204;5;0.200;202577;4.000
214;Sery topione pakowane;2.75;2018-11-10;szt;SER TOP.HOCHLAND PAPRYKA 100g BLOK;5902899103709;0.65;060202;5;0.100;202663;1.000
215;Mleko UHT;3.51;2018-11-10;szt;MLEKO ZAGĘSZCZONE SŁODZONE KARMEL GOSTYŃ 150g TUB;5900691032142;0.69;060804;5;0.150;202708;1.000
216;Mleko UHT;3.51;2018-11-10;szt;MLEKO ZAGESZCZONE KAKAO GOSTYŃ 150g TUB;5900691032128;0.69;060804;5;0.150;202715;1.000
217;Mleko UHT;7.03;2018-11-10;szt;MLEKO ZAGĘSZCZONE SŁODZONE BIAŁE GOSTYŃ 150g TUB;5900691032111;1.39;060804;5;0.150;202718;2.000
218;Pasztety;1.70;2018-11-10;szt;PASZTET PROFI DROBIOWY Z INDYKA 131g;5901696000099;0.44;120706;5;0.131;202736;1.000
219;Desery w proszku;2.57;2018-11-10;szt;BUDYŃ DELECTA ŚMIETANKOWY 64g;5900983000194;0.71;120902;8;0.064;202741;2.000
220;Piwo w puszce;2.32;2018-11-10;szt;PIWO ŻUBR 500ml PUSZ;5900877000293;0.37;010302;23;0.500;202754;1.000
221;Napoje typu cola;6.87;2018-11-10;szt;NAPÓJ PEPSI COLA 330ml PUSZ;5900497310338;0.83;070302;23;0.330;202760;5.000
222;Kawy rozpuszczalne;5.67;2018-11-10;szt;KAWA CAPP.MOKATE Z MAGNEZEM STR.110g;5902891280231;0.49;120802;23;0.110;202784;2.000
223;Napoje gazowane inne;2.59;2018-11-10;szt;NAPÓJ 7UP GAZ.1l PET;5900497341011;0.29;070301;23;1.000;202810;1.000
224;Napoje typu cola;4.12;2018-11-10;szt;NAPÓJ PEPSI MAX BEZ KALORII 330ml PUSZ;5900497300339;-0.11;070302;23;0.330;202812;3.000
225;Przyprawy;3.50;2018-11-10;szt;PRZYPRAWA KAMIS PIEPRZ ZIOŁOWY 15g;5900084013017;0.88;120708;8;0.015;202821;2.000
226;Kawy rozpuszczalne;2.92;2018-11-10;szt;KAWA CAPP.MOKATE CZEK.ZE STR.110g;5902891280224;0.33;120802;23;0.110;202829;1.000
227;Napoje gazowane inne;1.83;2018-11-10;szt;NAPÓJ SPRITE GAZ.330ml PUSZKA;5449000014535;0.73;070301;23;0.330;202830;1.000
228;Napoje gazowane inne;2.75;2018-11-10;szt;NAPÓJ MIRINDA ORANGE 330ml PUSZKA;5900497330336;-0.07;070301;23;0.330;202849;2.000
